Pressure_kb,Temp_C,rhoH20_gcm-3,epsilon,DeltaGo_H2O_calmol-1,DeltaGo_CO2_aq_calmol-1,DeltaGo_H+_calmol-1,DeltaGo_HCO3-_calmol-1,DeltaGro_calmol-1,log_K,Pressure_kb_2,Temp_C_2,DeltaVo_H2O_cm3mol-1,DeltaVo_CO2_aq_cm3mol-1,DeltaVo_H+_cm3mol-1,DeltaVo_HCO3-_cm3mol-1,DeltaVr_cm3mol-1,Temp_C_3,Pressure_kb_3
20,750,1.07847096905589,18.4411640442326,-67883.6543857877,-108441.587415994,0,-147049.304619772,29275.9371820096,-6.25753621288652,20,750,16.7044644843531,31.632699345769,0,28.9906137019228,-19.3465501281993,750,20
20,800,1.06211984127104,16.8749825285752,-69534.5307457765,-110955.741288775,0,-148577.193523412,31913.0785111394,-6.50339517267609,20,800,16.9616264568046,31.8068375736002,0,28.7075489680469,-20.0609150623579,800,20
20,850,1.0461653808105,15.4813058240934,-71221.2119476302,-113514.377125927,0,-150092.55836401,34643.0307095471,-6.74543545361131,20,850,17.2202983681633,31.9882197232152,0,28.4136139554312,-20.7949041359474,850,20
20,900,1.03061518723607,14.2382109668479,-72938.0409704792,-116116.814565917,0,-151593.843072277,37461.0124641194,-6.98325401206037,20,900,17.4801227685319,32.1761077579397,0,28.1098787030261,-21.5463518234455,900,20
20,950,1.01547209175706,13.1269218418333,-74678.4571786427,-118762.338800429,0,-153079.778604536,40361.0173745355,-7.21629466911425,20,950,17.74079282556,32.369661154269,0,27.7975974001116,-22.3128565797173,950,20
20,1000,1.0007354983294,12.1313052275521,-76435.2000786971,-121450.18508562,0,-154549.377639166,43336.0075251506,-7.44391143096689,20,1000,18.0020395299999,32.5679235476587,0,27.4782246108776,-23.0917384667809,1000,20
25,300,1.29014588548303,49.7026598623631,-53248.972421938,-84281.6469564846,0,-129487.793620369,8042.82575805318,-3.06882580193948,25,300,13.9637541790517,30.2734572454379,0,31.1998631168883,-13.0373483076013,300,25
25,350,1.27269073508143,44.2812940682807,-54462.689979305,-86347.4741696721,0,-131022.755989515,9787.40815946164,-3.43484365625889,25,350,14.1552692287394,30.3224341895328,0,31.0837335438591,-13.3939698744131,350,25
25,400,1.25545582296133,39.6357956404696,-55738.8738006423,-88462.7209896951,0,-132581.784107772,11619.8106825649,-3.77501842566664,25,400,14.3495929291292,30.3823104531155,0,30.9588324718297,-13.773070910415,400,25
25,450,1.23839570076287,35.6174008588023,-57070.5020828406,-90626.1382012372,0,-134158.527540716,13538.1127433617,-4.09412982027752,25,450,14.5472727246246,30.4511856681282,0,30.825586534007,-14.1728718587457,450,25
25,500,1.22151379573941,32.1170546659353,-58448.9860344456,-92836.6368849526,0,-135747.752101371,15537.8708180272,-4.3950074920294,25,500,14.7483229930243,30.5278340863315,0,30.6843017687078,-14.5918553106481,500,25
25,550,1.20483365163147,29.0513582885374,-59865.951815739,-95093.2748248094,0,-137345.015148864,17614.2114916842,-4.67967936304157,25,550,14.9525040038559,30.6114061549653,0,30.5352382180523,-15.0286719407689,550,25
25,600,1.18838611371934,26.3545267373382,-61319.5379233408,-97395.2301471118,0,-138946.478849777,19768.2892206758,-4.95121860502905,25,600,15.1594501080266,30.7012594663899,0,30.3786647921931,-15.4820447822234,600,25
25,650,1.17220172926128,23.9734061049906,-62814.1215600308,-99741.7790720716,0,-140548.785478142,22007.1151539605,-5.21342002157823,25,650,15.3687539868698,30.7968656722499,0,30.2148856672299,-15.9507339918898,650,25
25,700,1.15630746925116,21.8642787929179,-64352.6384830649,-102132.273567332,0,-142148.975950473,24335.9360999236,-5.46890202314266,25,700,15.5800083274278,30.8977518241765,0,30.0442609099162,-16.4334992416881,700,25
25,750,1.14072568534136,19.9907110894085,-65934.4471134359,-104566.119753281,0,-143744.43581478,26756.1310519362,-5.71894446737351,25,750,15.7928240167653,31.003460601588,0,29.8672244846532,-16.9290601337,750,25
25,800,1.12547351379871,18.3220212814307,-67556.5310440369,-107042.761034902,0,-145332.853635304,29266.4384436352,-5.96405058287696,25,800,16.0068449227158,31.1135268477394,0,29.6842923822305,-17.4360793882247,800,25
25,850,1.11056257748246,16.8321564412894,-69214.3394864904,-109561.665579021,0,-146912.186801075,31863.8182644356,-6.20428770249362,25,850,16.2217603629675,31.2274653460799,0,29.4960626500013,-17.953163059046,850,25
25,900,1.09600092298746,15.4988866041394,-70902.255492218,-112122.304469796,0,-148480.652788289,34543.9071737248,-6.43946499294985,25,900,16.4372854275471,31.3447475267745,0,29.3032392068629,-18.4787937474587,900,25
25,950,1.08179212657809,14.3031207550545,-72613.6866068229,-114724.147748969,0,-150036.699999266,37301.1343565252,-6.66920693576807,25,950,16.6531809183948,31.4648055322331,0,29.1066161101935,-19.0113703404343,950,25
25,1000,1.06793678429842,13.2284122532268,-74341.4125955653,-117366.648579971,0,-151579.003712817,40129.0574627198,-6.89304729761511,25,1000,16.869238202929,31.5870194099029,0,28.9070913365008,-19.5491662763311,1000,25
30,300,1.33441363105118,52.2147957250497,-51604.8560026433,-80655.9412180356,0,-125775.64132757,6485.15589310935,-2.47448028007401,30,300,13.5005215630243,30.1336051040096,0,31.3640689865365,-12.2700576804974,300,30
30,350,1.31776060694814,46.6172499151753,-52796.79939043,-82712.1851681032,0,-127330.816530579,8178.16802795399,-2.8700885988372,30,350,13.6711326055818,30.1616680961067,0,31.2749210673281,-12.5578796343605,350,30
30,400,1.30142214509964,41.8119142475542,-54050.914060657,-84815.6326096678,0,-128912.470504714,9954.07616561081,-3.23385827550982,30,400,13.8427642927658,30.1995447655572,0,31.1801460764813,-12.8621629818417,400,30
30,450,1.28530392153263,37.6463919450325,-55360.038764403,-86965.2114476651,0,-130514.308441386,11810.9417706824,-3.57180722494889,30,450,14.0163580754644,30.2451078127231,0,31.0801027271527,-13.1813631610348,450,30
30,500,1.26937851822019,34.0094662965666,-56715.4780927727,-89159.9352557215,0,-132131.146726178,13744.2666223166,-3.88767260874941,30,500,14.192204879329,30.2969861038377,0,30.975056775112,-13.5141342080547,500,30
30,550,1.25364995845973,30.8163990753861,-58108.8135242477,-91398.9259747934,0,-133758.582492472,15749.1570065694,-4.18417850062372,30,550,14.3702633086943,30.3542353588599,0,30.8652386495942,-13.8592600179599,550,30
30,600,1.2381362725842,28.0005039994966,-59538.3175750303,-93681.4101822443,0,-135392.798692965,17826.9290643095,-4.46498034647456,30,600,14.5503208321319,30.4161584331795,0,30.7508799180572,-14.2155993472542,600,30
