pH,log_a_Hplus,logfO2,converged,wlm_mol,wlm_present
6.0000,-6.0000,-26.0000,1,9.8749979336452025e+00,1
6.0000,-6.0000,-24.0000,1,9.8749979336452043e+00,1
6.0000,-6.0000,-22.0000,1,9.8749979336452061e+00,1
6.0000,-6.0000,-20.0000,1,9.8749979336452078e+00,1
6.0000,-6.0000,-18.0000,1,9.8749979336452096e+00,1
6.0000,-6.0000,-16.0000,1,9.8749979336452114e+00,1
6.0000,-6.0000,-14.0000,1,9.8749979336452132e+00,1
6.0000,-6.0000,-12.0000,1,9.8749979336452149e+00,1
6.0000,-6.0000,-10.0000,1,9.8749979336452167e+00,1
6.5000,-6.5000,-36.0000,1,9.8749979336452860e+00,1
6.5000,-6.5000,-34.0000,1,9.8749979336452842e+00,1
6.5000,-6.5000,-32.0000,1,9.8749979336452824e+00,1
6.5000,-6.5000,-30.0000,1,9.8749979336452807e+00,1
6.5000,-6.5000,-28.0000,1,9.8749979336452789e+00,1
6.5000,-6.5000,-26.0000,1,9.8749979336452771e+00,1
6.5000,-6.5000,-24.0000,1,9.8749979336452753e+00,1
6.5000,-6.5000,-22.0000,1,9.8749979336452736e+00,1
6.5000,-6.5000,-20.0000,1,9.8749979336452718e+00,1
6.5000,-6.5000,-18.0000,1,9.8749979336452700e+00,1
6.5000,-6.5000,-16.0000,1,9.8749979336452682e+00,1
6.5000,-6.5000,-14.0000,1,9.8749979336452665e+00,1
6.5000,-6.5000,-12.0000,1,9.8749979336452647e+00,1
6.5000,-6.5000,-10.0000,1,9.8749979336452629e+00,1
7.0000,-7.0000,-36.0000,1,9.8749979336454565e+00,1
7.0000,-7.0000,-34.0000,1,9.8749979336454583e+00,1
7.0000,-7.0000,-32.0000,1,9.8749979336454601e+00,1
7.0000,-7.0000,-30.0000,1,9.8749979336454619e+00,1
7.0000,-7.0000,-28.0000,1,9.8749979336454636e+00,1
7.0000,-7.0000,-26.0000,1,9.8749979336454654e+00,1
7.0000,-7.0000,-24.0000,1,9.8749979336454672e+00,1
7.0000,-7.0000,-22.0000,1,9.8749979336454690e+00,1
7.0000,-7.0000,-20.0000,1,9.8749979336454707e+00,1
7.0000,-7.0000,-18.0000,1,9.8749979336454725e+00,1
7.0000,-7.0000,-16.0000,1,9.8749979336454743e+00,1
7.0000,-7.0000,-14.0000,1,9.8749979336454761e+00,1
7.0000,-7.0000,-12.0000,1,9.8749979336454778e+00,1
7.0000,-7.0000,-10.0000,1,9.8749979336454796e+00,1
7.5000,-7.5000,-36.0000,1,9.8749979336456644e+00,1
7.5000,-7.5000,-34.0000,1,9.8749979336456644e+00,1
7.5000,-7.5000,-32.0000,1,9.8749979336456644e+00,1
7.5000,-7.5000,-30.0000,1,9.8749979336456644e+00,1
7.5000,-7.5000,-28.0000,1,9.8749979336456644e+00,1
7.5000,-7.5000,-26.0000,1,9.8749979336456644e+00,1
7.5000,-7.5000,-24.0000,1,9.8749979336456626e+00,1
7.5000,-7.5000,-22.0000,1,9.8749979336456608e+00,1
7.5000,-7.5000,-20.0000,1,9.8749979336456590e+00,1
7.5000,-7.5000,-18.0000,1,9.8749979336456573e+00,1
7.5000,-7.5000,-16.0000,1,9.8749979336456555e+00,1
7.5000,-7.5000,-14.0000,1,9.8749979336456537e+00,1
7.5000,-7.5000,-12.0000,1,9.8749979336456519e+00,1
7.5000,-7.5000,-10.0000,1,9.8749979336456501e+00,1
8.0000,-8.0000,-36.0000,1,9.8749979336456857e+00,1
