T_C,P_kb,rho_model_gcm3,rho_truth_gcm3,drho_gcm3,eps_model,eps_truth,deps,G0_H2O_model_cal,G0_H2O_truth_cal,dG0_H2O_cal,G0_CO2_model_cal,G0_CO2_truth_cal,dG0_CO2_cal,G0_H+_model_cal,G0_H+_truth_cal,dG0_H+_cal,G0_HCO3-_model_cal,G0_HCO3-_truth_cal,dG0_HCO3-_cal,DeltaGro_model_cal,DeltaGro_truth_cal,dDeltaGro_cal,logK_model,logK_truth,dlogK,V0_H2O_model_cm3,V0_H2O_truth_cm3,dV0_H2O_cm3,V0_CO2_model_cm3,V0_CO2_truth_cm3,dV0_CO2_cm3,V0_H+_model_cm3,V0_H+_truth_cm3,dV0_H+_cm3,V0_HCO3-_model_cm3,V0_HCO3-_truth_cm3,dV0_HCO3-_cm3,DeltaVr_model_cm3,DeltaVr_truth_cm3,dDeltaVr_cm3
850,10,0.854284,0.854284,2.23517e-07,11.6565,11.6565,4.27122e-06,-75765.9,-75763.6,-2.28177,-122323,-122323,0.820338,0,0,0,-155087,-155086,-1.30567,43001.3,43001.1,0.155763,-8.3673,-8.37286,0.00556018,21.0878,21.0882,-0.000333277,37.558,37.558,-1.147e-05,0,0,0,20.1111,20.1111,1.82559e-05,-38.5347,-38.535,0.000363003
900,10,0.834956,0.834956,1.49011e-07,10.65,10.65,2.62143e-06,-77568.5,-77566.1,-2.42176,-125122,-125123,0.690655,0,0,0,-156275,-156273,-1.09926,46415.8,46415.1,0.631844,-8.64677,-8.65243,0.00565944,21.576,21.5763,-0.000339197,38.4531,38.4531,-8.6245e-06,0,0,0,18.6881,18.6881,1.3727e-05,-41.341,-41.3413,0.000361549
950,10,0.816307,0.816307,-7.45055e-08,9.76242,9.76242,-1.20858e-06,-79395.1,-79392.5,-2.55736,-127974,-127975,0.558774,0,0,0,-157431,-157430,-0.889358,49938.3,49937.2,1.10923,-8.92269,-8.92846,0.00576326,22.0689,22.0693,-0.000340994,39.4023,39.4023,4.83531e-06,0,0,0,17.1789,17.1789,-7.696e-06,-44.2923,-44.2927,0.000328463
1000,10,0.79833,0.798331,-2.23517e-07,8.978,8.978,-3.34845e-06,-81238.4,-81235.7,-2.68933,-130877,-130878,0.427447,0,0,0,-158557,-158557,-0.680336,53558.4,53556.8,1.58155,-9.19369,-9.19956,0.00587098,22.5658,22.5662,-0.000344414,40.4008,40.4008,1.61701e-05,0,0,0,15.5911,15.5911,-2.57368e-05,-47.3756,-47.3759,0.000302507
300,15,1.17895,1.17895,7.45055e-08,43.5684,43.5684,4.02415e-06,-56750.5,-56749.3,-1.24414,-91620.3,-91622.5,2.23718,0,0,0,-136803,-136799,-3.56076,11568.1,11572.7,-4.55381,-4.41099,-4.41567,0.0046847,15.2805,15.2807,-0.000238464,30.8308,30.8308,-3.99428e-07,0,0,0,30.5291,30.5291,6.3574e-07,-15.5822,-15.5825,0.0002395
350,15,1.15835,1.15835,3.72528e-08,38.5324,38.5324,1.8306e-06,-58019.2,-58017.9,-1.31,-93723.4,-93725.5,2.1081,0,0,0,-138272,-138268,-3.3553,13471,13475.2,-4.15339,-4.72443,-4.72904,0.00461418,15.5523,15.5525,-0.000242223,30.977,30.977,-2.36678e-07,0,0,0,30.2815,30.2815,3.76703e-07,-16.2478,-16.248,0.000242837
400,15,1.13779,1.13779,1.11758e-07,34.2423,34.2423,4.9993e-06,-59352,-59350.6,-1.39563,-95882.6,-95884.6,1.97932,0,0,0,-139755,-139752,-3.15034,15479.3,15483.1,-3.73403,-5.02553,-5.0301,0.00457085,15.8333,15.8335,-0.000247645,31.1432,31.1432,-8.31781e-07,0,0,0,30.0055,30.0055,1.32388e-06,-16.971,-16.9712,0.000249801
450,15,1.11735,1.11735,7.45055e-08,30.556,30.556,3.03623e-06,-60742.2,-60740.6,-1.51357,-98096.7,-98098.6,1.85022,0,0,0,-141247,-141244,-2.94486,17591.7,17595,-3.28151,-5.31644,-5.32099,0.00454449,16.123,16.1232,-0.000251668,31.3289,31.3289,-6.4355e-07,0,0,0,29.7008,29.7008,1.02429e-06,-17.7511,-17.7514,0.000253336
500,15,1.09709,1.09709,-1.30385e-07,27.3679,27.3679,-4.84473e-06,-62181.4,-62179.7,-1.68606,-100365,-100366,1.72043,0,0,0,-142742,-142739,-2.73828,19804.3,19807.1,-2.77264,-5.59807,-5.60259,0.00452454,16.4207,16.4209,-0.000253269,31.534,31.534,1.29676e-06,0,0,0,29.3669,29.3669,-2.06396e-06,-18.5877,-18.588,0.000249908
550,15,1.07709,1.07709,1.49011e-07,24.5971,24.597,5.05338e-06,-63661.5,-63659.6,-1.93263,-102685,-102687,1.5926,0,0,0,-144234,-144231,-2.53482,22112.9,22115.1,-2.19478,-5.87095,-5.87546,0.0045057,16.7256,16.7259,-0.000262274,31.7583,31.7583,-1.69477e-06,0,0,0,29.0036,29.0036,2.69745e-06,-19.4803,-19.4806,0.000266666
